Local Date and Time,Participant Public ID,Participant Private ID,randomiser-wqo5,Trial Number,Response,Onset Time,Object Name,Object Number,Spreadsheet: Trial#,Spreadsheet: Audio
17/02/2026 17:01:43,3sq66wle,15178530,Version1-raw,63,a.png,3950.100000000035,A,1,79,[MONO] ASI_gapa_analyzable.mp3
17/02/2026 17:01:45,3sq66wle,15178530,Version1-raw,64,audio started,1522.2000000001863,Audio Clip,2,14,[MONO] HSS141_coneja_alt_analyzable_v-less_raw.mp3
17/02/2026 17:01:45,3sq66wle,15178530,Version1-raw,64,a.png,2226.8000000002794,A,1,14,[MONO] HSS141_coneja_alt_analyzable_v-less_raw.mp3
17/02/2026 17:01:47,3sq66wle,15178530,Version1-raw,65,audio started,1505.2999999999302,Audio Clip,2,66,[MONO] HSS_nogo_analyzable.mp3
17/02/2026 17:01:48,3sq66wle,15178530,Version1-raw,65,o.png,2583.500000000058,O,2,66,[MONO] HSS_nogo_analyzable.mp3
17/02/2026 17:01:49,3sq66wle,15178530,Version1-raw,66,audio started,1521.7000000000698,Audio Clip,2,45,[MONO] HSS143_caja_nonalt_analyzable_v-less_raw.mp3
17/02/2026 17:01:50,3sq66wle,15178530,Version1-raw,66,a.png,2266.8000000000466,A,1,45,[MONO] HSS143_caja_nonalt_analyzable_v-less_raw.mp3
17/02/2026 17:01:52,3sq66wle,15178530,Version1-raw,67,audio started,1521.4999999998836,Audio Clip,2,70,[MONO] ASI_gapo_analyzable.mp3
17/02/2026 17:01:53,3sq66wle,15178530,Version1-raw,67,o.png,2430.900000000256,O,2,70,[MONO] ASI_gapo_analyzable.mp3
17/02/2026 17:01:54,3sq66wle,15178530,Version1-raw,68,audio started,1522.2000000001863,Audio Clip,2,76,[MONO] ASI_crola_analyzable.mp3
17/02/2026 17:01:56,3sq66wle,15178530,Version1-raw,68,a.png,3093.7000000001863,A,1,76,[MONO] ASI_crola_analyzable.mp3
17/02/2026 17:01:57,3sq66wle,15178530,Version1-raw,69,audio started,1519.8999999999069,Audio Clip,2,28,[MONO] ASI146_panadera_alt_unanalyzable_v_raw.mp3
17/02/2026 17:01:58,3sq66wle,15178530,Version1-raw,69,a.png,2512.899999999907,A,1,28,[MONO] ASI146_panadera_alt_unanalyzable_v_raw.mp3
17/02/2026 17:02:00,3sq66wle,15178530,Version1-raw,70,audio started,1502.900000000198,Audio Clip,2,52,[MONO] ASI128_anzuelo_nonalt_unanalyzable_v_raw.mp3
17/02/2026 17:02:01,3sq66wle,15178530,Version1-raw,70,o.png,2832.000000000291,O,2,52,[MONO] ASI128_anzuelo_nonalt_unanalyzable_v_raw.mp3
17/02/2026 17:02:02,3sq66wle,15178530,Version1-raw,71,audio started,1505.3000000002794,Audio Clip,2,60,[MONO] ASI119_guitarra_nonalt_unanalyzable_v_raw.mp3
